PriLevel,SecLevel,ThirdLevel,Trigger,Sync,Cycle,RefTime,ToothTime,Time
Flag,Flag,Flag,Flag,Flag,Flag,ms,ms,ms
0.000,0.000,0.000,0.000,0.000,0.000,93482.047,0.480,93482.047
0.000,0.000,0.000,0.000,0.000,0.000,93482.047,0.480,93482.047
0.000,0.000,0.000,0.000,0.000,0.000,93482.047,0.480,93482.047
0.000,0.000,0.000,0.000,0.000,0.000,93482.047,0.480,93482.047
0.000,0.000,0.000,0.000,0.000,0.000,93482.047,0.480,93482.047
0.000,0.000,0.000,0.000,0.000,0.000,93482.047,0.480,93482.047
0.000,0.000,0.000,0.000,0.000,0.000,93482.047,0.480,93482.047
0.000,0.000,0.000,0.000,0.000,0.000,93482.047,0.480,93482.047
0.000,0.000,0.000,0.000,0.000,0.000,93482.047,0.480,93482.047
0.000,0.000,0.000,0.000,0.000,0.000,93482.047,0.480,93482.047
0.000,0.000,0.000,0.000,0.000,0.000,93482.047,0.480,93482.047
0.000,0.000,0.000,0.000,0.000,0.000,93482.047,0.480,93482.047
0.000,0.000,0.000,0.000,0.000,0.000,93482.047,0.480,93482.047
0.000,0.000,0.000,0.000,0.000,0.000,93482.047,0.480,93482.047
0.000,0.000,0.000,0.000,0.000,0.000,93482.047,0.480,93482.047
0.000,0.000,0.000,0.000,0.000,0.000,93482.047,0.480,93482.047
0.000,0.000,0.000,0.000,0.000,0.000,93482.047,0.480,93482.047
0.000,0.000,0.000,0.000,0.000,0.000,93482.047,0.480,93482.047
0.000,0.000,0.000,0.000,0.000,0.000,93482.047,0.480,93482.047
0.000,0.000,0.000,0.000,0.000,0.000,93482.047,0.480,93482.047
0.000,0.000,0.000,0.000,0.000,0.000,93482.047,0.480,93482.047
0.000,0.000,0.000,0.000,0.000,0.000,93482.047,0.480,93482.047
0.000,0.000,0.000,0.000,0.000,0.000,93482.047,0.480,93482.047
0.000,0.000,0.000,0.000,0.000,0.000,93482.047,0.480,93482.047
0.000,0.000,0.000,0.000,0.000,0.000,93482.047,0.480,93482.047
0.000,0.000,0.000,0.000,0.000,0.000,93482.047,0.480,93482.047
0.000,0.000,0.000,0.000,0.000,0.000,93482.047,0.480,93482.047
0.000,0.000,0.000,0.000,0.000,0.000,93482.047,0.480,93482.047
0.000,0.000,0.000,0.000,0.000,0.000,93482.047,0.480,93482.047
0.000,0.000,0.000,0.000,0.000,0.000,93482.047,0.480,93482.047
0.000,0.000,0.000,0.000,0.000,0.000,93482.047,0.480,93482.047
0.000,0.000,0.000,0.000,0.000,0.000,93482.047,0.480,93482.047
0.000,0.000,0.000,0.000,0.000,0.000,93482.047,0.480,93482.047
0.000,0.000,0.000,0.000,0.000,0.000,93482.047,0.480,93482.047
MARK 000
1.000,0.000,1.000,0.000,1.000,0.000,93589.297,107.252,93589.297
