one_cyl_ignition LANDMARK-PLL experiment build
timing: AFTER_EDone_cyl_ignition LANDMARK-PLL experiment build
timing: AFTER_EDGE_DEG=315 TRIGGER_ANGLE_BTDC=330 ADVANCE_BTDC=15
WATCHDOG: STALL gap_us=3000012
seq=200 ev=EARLY     val_us=71744 refBig_us=120064
seq=201 ev=SKIP      val_us=38464 refBig_us=118192
seq=202 ev=SKIP      val_us=8000 refBig_us=116352
seq=203 ev=FIRED     val_us=241600 refBig_us=123392 period_us=137232 rpm=437 resid_us=-35072 edgeToSpark_us=120064
seq=204 ev=SKIP      val_us=7872 refBig_us=121472
seq=205 ev=FIRED     val_us=98784 refBig_us=121600 period_us=136016 rpm=441 resid_us=-38448 edgeToSpark_us=119008
seq=206 ev=SKIP      val_us=10752 refBig_us=119712
seq=207 ev=FIRED     val_us=101456 refBig_us=124336 period_us=134928 rpm=444 resid_us=-34560 edgeToSpark_us=118048
seq=208 ev=SKIP      val_us=7456 refBig_us=122400
seq=209 ev=FIRED     val_us=98384 refBig_us=120496 period_us=133776 rpm=448 resid_us=-36544 edgeToSpark_us=117040
seq=210 ev=SKIP      val_us=10512 refBig_us=118624
seq=211 ev=FIRED     val_us=102272 refBig_us=123728 period_us=132784 rpm=451 resid_us=-31504 edgeToSpark_us=116176
seq=212 ev=SKIP      val_us=7920 refBig_us=121808
seq=213 ev=FIRED     val_us=101504 refBig_us=119920 period_us=131792 rpm=455 resid_us=-31280 edgeToSpark_us=115312
seq=214 ev=SKIP      val_us=11040 refBig_us=118048
seq=215 ev=FIRED     val_us=106960 refBig_us=123280 period_us=131008 rpm=457 resid_us=-24832 edgeToSpark_us=114624
seq=216 ev=SKIP      val_us=7872 refBig_us=121360
seq=217 ev=FIRED     val_us=111120 refBig_us=124976 period_us=130384 rpm=460 resid_us=-19888 edgeToSpark_us=114080
seq=218 ev=SKIP      val_us=7760 refBig_us=123024
seq=219 ev=EARLY     val_us=77504 refBig_us=121104
seq=220 ev=SKIP      val_us=37856 refBig_us=119216
seq=221 ev=SKIP      val_us=7536 refBig_us=117360
seq=222 ev=FIRED     val_us=247440 refBig_us=124544 period_us=129952 rpm=461 resid_us=-13328 edgeToSpark_us=113696
seq=223 ev=SKIP      val_us=7664 refBig_us=122608
seq=224 ev=FIRED     val_us=119328 refBig_us=123312 period_us=129616 rpm=462 resid_us=-10624 edgeToSpark_us=113408
seq=225 ev=SKIP      val_us=8112 refBig_us=121392
seq=226 ev=FIRED     val_us=122384 refBig_us=123568 period_us=129376 rpm=463 resid_us=-7232 edgeToSpark_us=113200
seq=227 ev=SKIP      val_us=7728 refBig_us=121648
seq=228 ev=FIRED     val_us=125600 refBig_us=124192 period_us=129248 rpm=464 resid_us=-3776 edgeToSpark_us=113088
seq=229 ev=SKIP      val_us=7872 refBig_us=122256
seq=230 ev=FIRED     val_us=127728 refBig_us=123152 period_us=129200 rpm=464 resid_us=-1520 edgeToSpark_us=113040
