=== CAPTURE OPEN - crank now ===
seq=222 ev=EARLY     val_us=138928 refBig_us=139856
seq=223 ev=SKIP      val_us=55824 refBig_us=137680
seq=224 ev=SKIP      val_us=13248 refBig_us=135536
seq=225 ev=FIRED     val_us=298000 refBig_us=133424 period_us=259536 rpm=231 resid_us=39696 edgeToSpark_us=252464
seq=226 ev=SKIP      val_us=51712 refBig_us=131344
seq=227 ev=SKIP      val_us=12992 refBig_us=129296
seq=228 ev=FIRED     val_us=188880 refBig_us=127280 period_us=257328 rpm=233 resid_us=-70656 edgeToSpark_us=232304
seq=229 ev=SKIP      val_us=34128 refBig_us=125296
seq=230 ev=SKIP      val_us=20144 refBig_us=123344
seq=231 ev=SKIP      val_us=13776 refBig_us=121424
seq=232 ev=EARLY     val_us=127984 refBig_us=121760
seq=233 ev=SKIP      val_us=23264 refBig_us=119872
seq=234 ev=SKIP      val_us=11552 refBig_us=118000
seq=235 ev=FIRED     val_us=285424 refBig_us=122624 period_us=258192 rpm=232 resid_us=28096 edgeToSpark_us=241808
seq=236 ev=SKIP      val_us=18992 refBig_us=120720
seq=237 ev=SKIP      val_us=13584 refBig_us=118848
seq=238 ev=FIRED     val_us=179072 refBig_us=121904 period_us=255712 rpm=234 resid_us=-79120 edgeToSpark_us=230848
seq=239 ev=SKIP      val_us=19584 refBig_us=120000
seq=240 ev=SKIP      val_us=13536 refBig_us=118128
seq=241 ev=EARLY     val_us=53600 refBig_us=116288
seq=242 ev=SKIP      val_us=55568 refBig_us=114480
seq=243 ev=SKIP      val_us=11056 refBig_us=112704
seq=244 ev=FIRED     val_us=208592 refBig_us=110944 period_us=254224 rpm=236 resid_us=-47120 edgeToSpark_us=229504
seq=245 ev=SKIP      val_us=35360 refBig_us=109216
seq=246 ev=SKIP      val_us=22128 refBig_us=107520
seq=247 ev=SKIP      val_us=10304 refBig_us=105840
seq=248 ev=EARLY     val_us=112704 refBig_us=104192
seq=249 ev=SKIP      val_us=37184 refBig_us=102576
seq=250 ev=SKIP      val_us=20192 refBig_us=100976
seq=251 ev=SKIP      val_us=12480 refBig_us=99408
