one_cyl_ignition DEBUG build
one_cyl_ignition DEBUG build
WATCHDOG: STALL gap_us=3000008
seq=173 ev=SYNCCAND  interval_us=59200 blank_us=49760
seq=174 ev=BLANKED   interval_us=11968 blank_us=29600
seq=175 ev=SYNCCAND  interval_us=101616 blank_us=29600
seq=176 ev=BLANKED   interval_us=35520 blank_us=50800
seq=177 ev=SYNCCAND  interval_us=55776 blank_us=50800
seq=178 ev=BLANKED   interval_us=13104 blank_us=27888
seq=179 ev=SYNCCAND  interval_us=101472 blank_us=27888
seq=180 ev=BLANKED   interval_us=36336 blank_us=50736
seq=181 ev=SYNCCAND  interval_us=58432 blank_us=50736
seq=182 ev=BLANKED   interval_us=9968 blank_us=29216
seq=183 ev=SYNCCAND  interval_us=100160 blank_us=29216
seq=184 ev=BLANKED   interval_us=34032 blank_us=50080
seq=185 ev=SYNCCAND  interval_us=56720 blank_us=50080
seq=186 ev=BLANKED   interval_us=10704 blank_us=28352
seq=187 ev=SYNCCAND  interval_us=100048 blank_us=28352
seq=188 ev=BLANKED   interval_us=35792 blank_us=50016
seq=189 ev=SYNCCAND  interval_us=53056 blank_us=50016
seq=190 ev=BLANKED   interval_us=5024 blank_us=26528
seq=191 ev=BLANKED   interval_us=15792 blank_us=26528
seq=192 ev=SYNCCAND  interval_us=107936 blank_us=26528
seq=193 ev=BLANKED   interval_us=34144 blank_us=53968
seq=194 ev=BLANKED   interval_us=52816 blank_us=53968
seq=195 ev=SYNCCAND  interval_us=66752 blank_us=53968
seq=196 ev=SYNCCAND  interval_us=90096 blank_us=33376
seq=197 ev=SYNCCAND  interval_us=58288 blank_us=45040
seq=198 ev=BLANKED   interval_us=10272 blank_us=29136
seq=199 ev=SYNCCAND  interval_us=101920 blank_us=29136
seq=200 ev=BLANKED   interval_us=34928 blank_us=50960
seq=201 ev=SYNCCAND  interval_us=53120 blank_us=50960
seq=202 ev=BLANKED   interval_us=15040 blank_us=26560
seq=203 ev=SYNCCAND  interval_us=106720 blank_us=26560
seq=204 ev=BLANKED   interval_us=36384 blank_us=53360
seq=205 ev=SYNCCAND  interval_us=54496 blank_us=53360
seq=206 ev=BLANKED   interval_us=13664 blank_us=27248
seq=207 ev=SYNCCAND  interval_us=100304 blank_us=27248
seq=208 ev=SYNCCAND  interval_us=58720 blank_us=50144
seq=209 ev=BLANKED   interval_us=14480 blank_us=29360
seq=210 ev=SYNCCAND  interval_us=103472 blank_us=29360
seq=211 ev=BLANKED   interval_us=35280 blank_us=51728
seq=212 ev=SYNCCAND  interval_us=58416 blank_us=51728
seq=213 ev=BLANKED   interval_us=11632 blank_us=29200
seq=214 ev=SYNCCAND  interval_us=99696 blank_us=29200
seq=215 ev=BLANKED   interval_us=36752 blank_us=49840
seq=216 ev=SYNCCAND  interval_us=60144 blank_us=49840
seq=217 ev=BLANKED   interval_us=10048 blank_us=30064
seq=218 ev=SYNCCAND  interval_us=100080 blank_us=30064
seq=219 ev=BLANKED   interval_us=34816 blank_us=50032
seq=220 ev=BLANKED   interval_us=40592 blank_us=50032
seq=221 ev=SYNCCAND  interval_us=55248 blank_us=50032
seq=222 ev=BLANKED   interval_us=14576 blank_us=27616
seq=223 ev=SYNCCAND  interval_us=104864 blank_us=27616
seq=224 ev=BLANKED   interval_us=35776 blank_us=52432
seq=225 ev=SYNCCAND  interval_us=57056 blank_us=52432
seq=226 ev=BLANKED   interval_us=12464 blank_us=28528
seq=227 ev=SYNCCAND  interval_us=106288 blank_us=28528
seq=228 ev=BLANKED   interval_us=37328 blank_us=53136
seq=229 ev=BLANKED   interval_us=50896 blank_us=53136
seq=230 ev=SYNCCAND  interval_us=56880 blank_us=53136
seq=231 ev=BLANKED   interval_us=10912 blank_us=28432
seq=232 ev=SYNCCAND  interval_us=104400 blank_us=28432
seq=233 ev=BLANKED   interval_us=33616 blank_us=52192
seq=234 ev=SYNCCAND  interval_us=52880 blank_us=52192
seq=235 ev=BLANKED   interval_us=13536 blank_us=26432
seq=236 ev=SYNCCAND  interval_us=102176 blank_us=26432
seq=237 ev=SYNCCAND  interval_us=63264 blank_us=51088
seq=238 ev=BLANKED   interval_us=11808 blank_us=31632
seq=239 ev=SYNCCAND  interval_us=100976 blank_us=31632
seq=240 ev=BLANKED   interval_us=24208 blank_us=50480
seq=241 ev=SYNCFIRST interval_us=112448 blank_us=50480
seq=242 ev=BLANKED   interval_us=26144 blank_us=56224
WATCHDOG: STALL gap_us=3000012
