one_cyl_ignition LANDMARK-PLL experiment build
timing: AFTER_EDone_cyl_ignition LANDMARK-PLL experiment build
timing: AFTER_EDGE_DEG=315 TRIGGER_ANGLE_BTDC=330 ADVANCE_BTDC=15
WATCHDOG: STALL gap_us=3000012
one_cyl_ignition LANDMARK-PLL experiment build
timing: AFTER_EDGE_DEG=315 TRIGGER_ANGLE_BTDC=330 ADVANCE_BTDC=15
WATCHDOG: STALL gap_us=3000012
seq=206 ev=SKIP      val_us=40768 refBig_us=89760
seq=207 ev=SKIP      val_us=8480 refBig_us=88368
seq=208 ev=FIRED     val_us=153072 refBig_us=92432 period_us=140096 rpm=428 resid_us=13392 edgeToSpark_us=122576
seq=209 ev=SKIP      val_us=41088 refBig_us=90992
seq=210 ev=SKIP      val_us=8176 refBig_us=89584
seq=211 ev=FIRED     val_us=152880 refBig_us=91888 period_us=140480 rpm=427 resid_us=12784 edgeToSpark_us=122912
seq=212 ev=SKIP      val_us=42480 refBig_us=90464
seq=213 ev=SKIP      val_us=8304 refBig_us=89056
seq=214 ev=FIRED     val_us=151888 refBig_us=89904 period_us=140832 rpm=426 resid_us=11408 edgeToSpark_us=123216
seq=215 ev=SKIP      val_us=43312 refBig_us=88512
seq=216 ev=SKIP      val_us=8624 refBig_us=87136
seq=217 ev=FIRED     val_us=156528 refBig_us=94608 period_us=141312 rpm=424 resid_us=15696 edgeToSpark_us=123648
seq=218 ev=SKIP      val_us=47344 refBig_us=93136
seq=219 ev=SKIP      val_us=9856 refBig_us=91696
seq=220 ev=FIRED     val_us=204656 refBig_us=114608 period_us=143280 rpm=418 resid_us=63344 edgeToSpark_us=125360
seq=221 ev=FIRED     val_us=165168 refBig_us=112832 period_us=143952 rpm=416 resid_us=21888 edgeToSpark_us=125952
WATCHDOG: STALL gap_us=3000008
